file,marker_type,count
mu_2026-02-03.json,entry_executed,2
mu_2026-02-03.json,pattern_detected,89
mu_2026-02-03.json,regime_detected,16
mu_2026-02-03.json,session_ended,1
mu_2026-02-03.json,session_started,1
mu_2026-02-03.json,signal_generated,2
mu_2026-02-03.json,stop_loss_hit,2
mu_2026-02-03.json,strategy_selected,16
mu_2026-02-04.json,entry_executed,1
mu_2026-02-04.json,exit_executed,1
mu_2026-02-04.json,pattern_detected,164
mu_2026-02-04.json,regime_detected,18
mu_2026-02-04.json,session_ended,1
mu_2026-02-04.json,session_started,1
mu_2026-02-04.json,signal_generated,1
mu_2026-02-04.json,strategy_selected,18
mu_phase_0.json,entry_executed,1
mu_phase_0.json,pattern_detected,68
mu_phase_0.json,regime_detected,16
mu_phase_0.json,session_ended,1
mu_phase_0.json,session_started,1
mu_phase_0.json,signal_generated,1
mu_phase_0.json,stop_loss_hit,1
mu_phase_0.json,strategy_selected,9
mu_phase_2.json,pattern_detected,78
mu_phase_2.json,regime_detected,16
mu_phase_2.json,session_ended,1
mu_phase_2.json,session_started,1
mu_phase_2.json,strategy_selected,9
mu_phase_2_after_tuning.json,entry_executed,2
mu_phase_2_after_tuning.json,pattern_detected,89
mu_phase_2_after_tuning.json,regime_detected,16
mu_phase_2_after_tuning.json,session_ended,1
mu_phase_2_after_tuning.json,session_started,1
mu_phase_2_after_tuning.json,signal_generated,2
mu_phase_2_after_tuning.json,stop_loss_hit,2
mu_phase_2_after_tuning.json,strategy_selected,16
mu_phase_4_validation.json,entry_executed,2
mu_phase_4_validation.json,pattern_detected,89
mu_phase_4_validation.json,regime_detected,16
mu_phase_4_validation.json,session_ended,1
mu_phase_4_validation.json,session_started,1
mu_phase_4_validation.json,signal_generated,2
mu_phase_4_validation.json,stop_loss_hit,2
mu_phase_4_validation.json,strategy_selected,16
mu_phase_current.json,pattern_detected,78
mu_phase_current.json,regime_detected,16
mu_phase_current.json,session_ended,1
mu_phase_current.json,session_started,1
mu_phase_current.json,strategy_selected,9
mu_phase_current_after_restart.json,pattern_detected,78
mu_phase_current_after_restart.json,regime_detected,16
mu_phase_current_after_restart.json,session_ended,1
mu_phase_current_after_restart.json,session_started,1
mu_phase_current_after_restart.json,strategy_selected,9
mu_test_20260203.json,pattern_detected,76
mu_test_20260203.json,regime_detected,13
mu_test_20260203.json,session_ended,1
mu_test_20260203.json,session_started,1
mu_test_20260203.json,strategy_selected,7
