trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.24,191.88,2026-01-06T14:49:00+00:00,2026-01-06T14:51:00+00:00,-0.34,-34.44,-0.33,0,trailing_stop,0
2,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.63,191.63,2026-01-06T15:13:00+00:00,2026-01-06T15:25:00+00:00,-0.01,-1.23,0,0,trailing_stop,0
3,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.97,189.53,2026-01-06T15:46:00+00:00,2026-01-06T15:52:00+00:00,-0.24,-24.4,-0.23,0,trailing_stop,0
4,VWAPMagnet,MIXED,NVDA,2026-01-07,short,188.88,189.65,2026-01-07T14:52:00+00:00,2026-01-07T14:55:00+00:00,-0.42,-42.01,-0.41,0,trailing_stop,0
5,VWAPMagnet,MIXED,NVDA,2026-01-07,short,190.96,191.0,2026-01-07T15:07:00+00:00,2026-01-07T15:22:00+00:00,-0.03,-3.33,-0.02,0,trailing_stop,0
6,VWAPMagnet,MIXED,NVDA,2026-01-07,short,191.0,189.03,2026-01-07T15:22:00+00:00,2026-01-07T15:38:00+00:00,1.02,101.91,1.03,0,trailing_stop,0
7,VWAPMagnet,MIXED,NVDA,2026-01-08,long,186.76,186.07,2026-01-08T14:49:00+00:00,2026-01-08T14:51:00+00:00,-0.38,-38.46,-0.37,0,trailing_stop,0
8,VWAPMagnet,MIXED,NVDA,2026-01-08,long,185.56,185.66,2026-01-08T15:04:00+00:00,2026-01-08T15:21:00+00:00,0.04,4.41,0.06,0,trailing_stop,0
9,VWAPMagnet,MIXED,NVDA,2026-01-08,long,185.66,185.84,2026-01-08T15:21:00+00:00,2026-01-08T15:36:00+00:00,0.08,8.45,0.1,0,trailing_stop,0
10,VWAPMagnet,MIXED,NVDA,2026-01-12,long,183.87,184.77,2026-01-12T15:36:00+00:00,2026-01-12T16:14:00+00:00,0.48,47.69,0.49,0,take_profit,0
11,VWAPMagnet,MIXED,NVDA,2026-01-12,short,185.41,185.84,2026-01-12T16:53:00+00:00,2026-01-12T17:11:00+00:00,-0.24,-24.44,-0.23,0,trailing_stop,0
