trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Rotation,MIXED,NVDA,2026-01-21,long,179.5,179.56,2026-01-21T14:08:00+00:00,2026-01-21T14:30:00+00:00,-1.1,-1.98,0.03,0,trailing_stop,0
2,Rotation,MIXED,NVDA,2026-01-21,short,179.09,179.72,2026-01-21T14:31:00+00:00,2026-01-21T14:33:00+00:00,-1.49,-2.67,-0.35,0,stop_loss,0
3,Rotation,MIXED,NVDA,2026-01-21,short,179.25,180.53,2026-01-21T14:34:00+00:00,2026-01-21T14:52:00+00:00,-1.86,-3.33,-0.72,0,trailing_stop,0
4,Rotation,MIXED,NVDA,2026-01-21,long,180.53,182.63,2026-01-21T14:52:00+00:00,2026-01-21T15:51:00+00:00,0.03,0.06,1.16,0,take_profit,0
5,Rotation,MIXED,NVDA,2026-01-22,long,185.83,185.14,2026-01-22T14:30:00+00:00,2026-01-22T14:31:00+00:00,-1.47,-2.73,-0.37,0,stop_loss,0
6,Rotation,MIXED,NVDA,2026-01-22,short,184.26,185.21,2026-01-22T14:48:00+00:00,2026-01-22T15:46:00+00:00,-1.62,-2.99,-0.52,0,stop_loss,0
7,Rotation,MIXED,NVDA,2026-01-23,long,186.49,187.58,2026-01-23T11:03:00+00:00,2026-01-23T11:05:00+00:00,-0.51,-0.95,0.58,0,take_profit,0
8,Rotation,MIXED,NVDA,2026-01-23,long,187.58,187.13,2026-01-23T11:05:00+00:00,2026-01-23T12:00:00+00:00,-1.33,-2.49,-0.24,0,trailing_stop,0
9,Rotation,MIXED,NVDA,2026-01-23,long,188.47,187.42,2026-01-23T14:30:00+00:00,2026-01-23T14:34:00+00:00,-1.64,-3.09,-0.56,0,trailing_stop,0
10,Rotation,MIXED,NVDA,2026-01-23,short,187.03,187.81,2026-01-23T14:39:00+00:00,2026-01-23T15:55:00+00:00,-1.51,-2.82,-0.41,0,end_of_day,0
11,Rotation,MIXED,NVDA,2026-01-26,long,188.25,187.78,2026-01-26T14:32:00+00:00,2026-01-26T14:33:00+00:00,-1.33,-2.51,-0.25,0,stop_loss,0
12,Rotation,MIXED,NVDA,2026-01-26,long,188.0,187.38,2026-01-26T14:34:00+00:00,2026-01-26T14:50:00+00:00,-1.42,-2.66,-0.33,0,stop_loss,0
13,Rotation,MIXED,NVDA,2026-01-26,short,187.38,187.31,2026-01-26T14:50:00+00:00,2026-01-26T15:55:00+00:00,-1.05,-1.97,0.04,0,end_of_day,0
14,MeanReversion,CHOPPY,NVDA,2026-01-27,short,188.52,189.01,2026-01-27T15:09:00+00:00,2026-01-27T15:11:00+00:00,-1.34,-2.53,-0.26,0,stop_loss,0
15,MeanReversion,CHOPPY,NVDA,2026-01-27,short,189.01,189.45,2026-01-27T15:11:00+00:00,2026-01-27T15:17:00+00:00,-1.31,-2.48,-0.23,0,stop_loss,0
16,MeanReversion,CHOPPY,NVDA,2026-01-27,short,189.45,189.64,2026-01-27T15:17:00+00:00,2026-01-27T15:36:00+00:00,-1.18,-2.23,-0.1,0,trailing_stop,0
17,MeanReversion,CHOPPY,NVDA,2026-01-27,short,189.64,189.16,2026-01-27T15:36:00+00:00,2026-01-27T15:55:00+00:00,-0.82,-1.56,0.25,0,end_of_day,0
18,Rotation,MIXED,TSLA,2026-01-20,long,428.7,426.73,2026-01-20T14:28:00+00:00,2026-01-20T14:30:00+00:00,-0.95,-4.07,-0.46,0,stop_loss,0
19,Rotation,MIXED,TSLA,2026-01-20,short,424.79,425.51,2026-01-20T14:37:00+00:00,2026-01-20T15:55:00+00:00,-0.66,-2.82,-0.17,0,end_of_day,0
20,MeanReversion,CHOPPY,TSLA,2026-01-21,short,426.1,427.2,2026-01-21T15:16:00+00:00,2026-01-21T15:25:00+00:00,-0.75,-3.2,-0.26,0,stop_loss,0
21,MeanReversion,CHOPPY,TSLA,2026-01-21,short,427.2,428.03,2026-01-21T15:25:00+00:00,2026-01-21T15:37:00+00:00,-0.69,-2.93,-0.19,0,stop_loss,0
